Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
1000,1,1020,0.82,0.82,0.82,1,1000,0.1329,6,9,6,0.111,1,1000,476,7500,43200,41760,0,
12100,1,1020,0.58,0.58,0.58,1,12100,0.1913,-336,4,3,0.25,2,11800,-492,63200,660960,659520,0,
16100,1,1020,0.58,0.58,0.58,1,16100,0.551,-448,8,3,0.125,2,15700,-144,29300,N/A,0,0,
17100,1,1020,0.58,0.58,0.58,1,17100,0.573,-475,2,2,0.5,1,16600,-422,29900,184320,184320,0,
17900,1,1020,0.58,0.58,0.58,1,17900,0.5727,-496,2,2,0.5,1,17400,-417,31200,187200,187200,0,
1800,1,1020,0.79,0.79,0.79,1,1800,0.2073,-340,5,4,0.2,3,1400,484,8500,69120,67680,0,
4700,1,1020,0.46,0.46,0.46,9,4900,0.46,1600,9,1,1,1,6500,1600,10800,113760,112320,0,
2500,1,1020,0.89,0.89,0.89,1,2500,0.0717,-380,19,13,0.053,1,2100,516,35000,188640,187200,0,
1300,1,1020,0.46,0.46,0.46,2,2600,0.1277,-42,17,7,0.118,2,1300,393,20400,N/A,0,0,
5000,1,1080,0.14,0.14,0.14,1,5000,0.1385,-4300,1,1,1,1,667,-4300,36100,1080,0,0,
1100,Israel,1080,0.69,0.69,0.69,2,2300,0.279,19,16,6,0.125,0,0,824,8100,N/A,0,0,
2300,0,1080,0.78,0.78,0.78,2,4600,0.1339,29,20,7,0.1,0,0,30,34400,370080,370080,0,
1000,1,1080,0.46,0.46,0.46,1,1000,0.46,33,1,1,1,1,1000,33,2200,1080,0,0,
1000,1,1080,0.5,0.5,0.5,1,1000,0.0833,-50,2,2,0.5,2,950,-60,12000,N/A,0,0,
2500,1,1080,0.55,0.55,0.55,1,2500,0.236,-323,4,4,0.25,4,4700,-805,10600,741600,740160,0,
16900,1,1080,0.64,0.64,0.64,1,16900,0.6332,532,2,2,0.5,1,17500,588,26800,660960,659520,0,
10400,US,1080,0.57,0.57,0.57,1,10400,0.2614,-4700,16,2,0.063,1,5700,-2800,39700,1440,0,0,
4700,0,1080,0.82,0.82,0.81,16,19400,0.8097,25,18,2,0.889,2,19500,29,24000,1080,0,0,
1500,1,1080,0.13,0.13,0.13,1,1500,0.0062,20,13,6,0.077,5,5800,2400,241400,N/A,0,0,
15200,1,1080,0.63,0.63,0.63,1,15200,0.623,729,2,2,0.5,1,16000,783,24500,187200,185760,0,
16500,0,1080,0.72,0.72,0.72,1,16500,0.3363,229,18,12,0.056,3,16700,21,49000,668160,668160,0,
"1,000",1,1080,0.5,0.5,0.5,1,1000,0.012,-56,15,10,0.067,9,2200,-3500,83600,N/A,0,0,
1300,1,1080,0.34,0.34,0.34,1,1300,0.1843,-11,2,2,0.5,2,4500,1200,7000,51840,50400,0,
3400,0,1080,0.63,0.62,0.68,4,7600,0.1592,-3300,22,10,0.182,3,4400,-6100,48000,N/A,0,0,
16600,1,1080,0.61,0.61,0.61,1,16600,0.6033,408,2,2,0.5,1,17000,522,27500,660960,659520,0,
15700,1,1080,0.61,0.61,0.61,1,15700,0.6051,386,2,2,0.5,2,16100,243,25900,187200,185760,0,
1700,1,1080,0.4,0.4,0.4,1,1700,0.2178,889,10,8,0.1,5,2600,1600,8000,64800,63360,0,
5000,1,1140,0.11,0.11,0.11,1,5000,0.0235,8600,6,3,0.167,3,86300,58300,212400,1440,0,0,
2500,1,1140,0.56,0.56,0.56,1,2500,0.1159,74,8,4,0.125,2,2600,3000,21600,N/A,0,0,
1800,1,1140,0.14,0.17,0.16,3,9900,0.0406,1700,15,4,0.2,1,3800,-4600,244600,N/A,0,0,
5000,Down,1140,0.49,0.49,0.49,1,5000,0.1175,1300,10,5,0.1,1,6300,416,43000,14400,12960,0,
3000,1,1200,0.75,0.75,0.75,1,3000,0.0311,-763,23,11,0.043,8,8700,692,96400,12960,11520,0,
2400,1,1200,0.69,0.05,0.24,5,3200,0.2518,5000,14,9,0.357,9,8900,5300,12600,N/A,0,0,
15300,0,1200,0.7,0.7,0.7,2,30400,0.3303,-285,22,11,0.091,0,0,-80,92000,668160,668160,0,
9200,1,1260,0.18,0.16,0.17,3,14800,0.1694,270,7,3,0.429,3,15200,267,87300,N/A,0,0,
16700,0,1260,0.76,0.76,0.76,2,33500,0.4944,0,13,8,0.154,1,0,-279,67800,669600,668160,0,
15400,0,1260,0.59,0.59,0.59,2,30700,0.5881,0,3,2,0.667,0,0,65,52300,660960,659520,0,
17100,0,1320,0.59,0.59,0.59,2,34200,0.5883,0,3,2,0.667,1,0,-116,58200,N/A,0,0,
16600,0,1320,0.59,0.59,0.59,2,33300,0.5886,0,3,2,0.667,1,0,-90,56500,187200,185760,0,
11100,0,1320,0.53,0.53,0.53,2,22300,0.5271,0,3,2,0.667,1,0,-156,42200,185760,184320,0,
16100,0,1320,0.53,0.53,0.53,2,32100,0.5283,0,3,2,0.667,0,0,72,60800,660960,659520,0,
18300,0,1320,0.53,0.53,0.53,2,36700,0.522,0,8,2,0.25,0,0,721,70300,N/A,0,0,
1400,1,1380,0.19,0.19,0.18,9,4900,0.1781,21500,11,2,0.818,1,26400,21500,27600,N/A,0,0,
2200,0,1380,0.58,0.58,0.58,1,2200,0.5773,-489,1,1,1,1,1700,-489,3800,1440,0,0,
1000,1,1440,0.12,0.1,0.11,6,1200,0.12,-5,6,1,1,1,1100,-5,9600,N/A,0,0,
16200,0,1440,0.55,0.55,0.55,2,32500,0.5477,0,3,2,0.667,0,0,95,59300,660960,659520,0.0022,
2500,0,1440,0.76,0.76,0.76,1,2500,0.0308,17,25,12,0.04,4,14500,-3500,82300,N/A,0,0,
1600,1,1440,0.46,0.46,0.46,1,1600,0.2876,91,2,2,0.5,1,1700,591,5400,50400,48960,0.0286,
3500,1,1440,0.57,0.55,0.56,3,4100,0.3418,-160,6,3,0.5,3,4900,-183,11900,1440,0,1,
4200,0,1440,0.79,0.79,0.79,2,8500,0.1345,11,22,6,0.091,1,0,-7,63000,354240,352800,0.0041,
4400,0,1440,0.79,0.79,0.79,4,8900,0.1411,11,21,5,0.19,0,0,24,62800,2880,1440,0.5,
4200,0,1440,0.79,0.78,0.79,5,13800,0.2032,7,22,5,0.227,0,0,7,67700,339840,338400,0.0042,
3600,1,1440,0.21,0.21,0.21,3,7200,0.0646,0,24,7,0.125,0,0,-1,111800,354240,352800,0.0041,
2100,0,1440,0.79,0.79,0.79,5,4200,0.108,-5,17,6,0.294,0,0,-6,39200,493920,492480,0.0029,
1800,1,1440,0.21,0.21,0.21,3,3600,0.0481,0,20,7,0.15,0,0,22,75700,540000,538560,0.0027,
1300,1,1440,0.21,0.21,0.21,4,3600,0.06,-0,14,5,0.286,0,0,-4,60600,2880,1440,0.5,
2000,1,1440,0.2,0.2,0.2,1,2000,0.2,-2000,1,1,1,0,0,-2000,10000,2880,1440,0.5,
2000,1,1440,0.73,0.73,0.75,3,2900,0.1053,-431,18,4,0.167,2,2400,4900,27200,69120,67680,0.0208,
2200,0,1440,0.83,0.83,0.83,1,2200,0.83,-13,1,1,1,1,2200,-13,2600,105120,103680,0.0137,
1400,0,1440,0.77,0.77,0.77,1,1400,0.0521,-9,13,6,0.077,3,1400,343,26900,N/A,0,0,
1400,0,1440,0.78,0.77,0.78,4,4200,0.2712,-5,9,2,0.444,1,1400,-18,15600,421920,420480,0.0034,
1600,1,1440,0.12,0.1,0.11,2,3600,0.0268,-8,13,4,0.154,4,11300,58,134300,162720,161280,0.0088,
1000,1,1440,0.86,0.86,0.86,1,1000,0.6718,-14,4,3,0.25,2,1100,-13,1500,N/A,0,0,
1600,1,1440,0.5,0.49,0.5,4,1700,0.497,-7,4,1,1,1,1700,-7,3500,N/A,0,0,
6900,1,1440,0.22,0.35,0.31,3,7000,0.2202,1100,4,2,0.75,2,8500,1100,31900,73440,70560,0.0196,
1100,1,1440,0.65,0.65,0.65,1,1100,0.6463,-18,1,1,1,1,1000,-18,1600,678240,675360,0.0021,
1700,1,1440,0.89,0.89,0.89,1,1700,0.2016,-47,11,8,0.091,4,1700,46,8400,54720,51840,0.0263,
1900,1,1440,0.36,0.36,0.36,1,1900,0.363,-99,1,1,1,1,1800,-99,5300,N/A,0,0,
