Running hyperparameter search over 48 candidates with 3 runs each...
Trial 16/48 | params={'batch_size': 64, 'hidden_dim': 128, 'num_layers': 2, 'width_decay': 0.5, 'dropout': 0.1, 'activation': 'leaky_relu', 'use_batch_norm': True, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'optimizer': 'radam', 'use_pos_weight': False, 'epochs': 50} | mean_val_acc=0.8359±0.0011 | mean_val_loss=0.4048 | best_run_acc=0.8371 @ epoch 44
Trial 17/48 | params={'batch_size': 64, 'hidden_dim': 256, 'num_layers': 4, 'width_decay': 0.5, 'dropout': 0.3, 'activation': 'relu', 'use_batch_norm': True, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'optimizer': 'radam', 'use_pos_weight': True, 'epochs': 80} | mean_val_acc=0.8408±0.0022 | mean_val_loss=0.3622 | best_run_acc=0.8438 @ epoch 66
Trial 18/48 | params={'batch_size': 64, 'hidden_dim': 64, 'num_layers': 3, 'width_decay': 1.0, 'dropout': 0.2, 'activation': 'gelu', 'use_batch_norm': False, 'learning_rate': 0.0003, 'weight_decay': 0.0005, 'optimizer': 'adamw', 'use_pos_weight': False, 'epochs': 30} | mean_val_acc=0.8136±0.0011 | mean_val_loss=0.4306 | best_run_acc=0.8151 @ epoch 28
Trial 19/48 | params={'batch_size': 64, 'hidden_dim': 128, 'num_layers': 4, 'width_decay': 1.0, 'dropout': 0.1, 'activation': 'relu', 'use_batch_norm': True, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'optimizer': 'radam', 'use_pos_weight': True, 'epochs': 30} | mean_val_acc=0.8330±0.0028 | mean_val_loss=0.3747 | best_run_acc=0.8366 @ epoch 25
Trial 20/48 | params={'batch_size': 64, 'hidden_dim': 128, 'num_layers': 3, 'width_decay': 1.0, 'dropout': 0.3, 'activation': 'gelu', 'use_batch_norm': True, 'learning_rate': 0.002, 'weight_decay': 0.0005, 'optimizer': 'radam', 'use_pos_weight': False, 'epochs': 50} | mean_val_acc=0.8324±0.0035 | mean_val_loss=0.4067 | best_run_acc=0.8362 @ epoch 46
Trial 21/48 | params={'batch_size': 256, 'hidden_dim': 128, 'num_layers': 4, 'width_decay': 0.5, 'dropout': 0.0, 'activation': 'leaky_relu', 'use_batch_norm': False, 'learning_rate': 0.0003, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'use_pos_weight': False, 'epochs': 50} | mean_val_acc=0.8266±0.0016 | mean_val_loss=0.4038 | best_run_acc=0.8286 @ epoch 44
Trial 22/48 | params={'batch_size': 64, 'hidden_dim': 128, 'num_layers': 3, 'width_decay': 0.7, 'dropout': 0.1, 'activation': 'gelu', 'use_batch_norm': False, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'optimizer': 'adamw', 'use_pos_weight': False, 'epochs': 80} | mean_val_acc=0.8435±0.0009 | mean_val_loss=0.3865 | best_run_acc=0.8447 @ epoch 44
Trial 23/48 | params={'batch_size': 128, 'hidden_dim': 64, 'num_layers': 4, 'width_decay': 1.0, 'dropout': 0.3, 'activation': 'relu', 'use_batch_norm': False, 'learning_rate': 0.002, 'weight_decay': 0.0005, 'optimizer': 'radam', 'use_pos_weight': True, 'epochs': 30} | mean_val_acc=0.8292±0.0006 | mean_val_loss=0.3807 | best_run_acc=0.8299 @ epoch 24
Trial 24/48 | params={'batch_size': 128, 'hidden_dim': 256, 'num_layers': 2, 'width_decay': 1.0, 'dropout': 0.0, 'activation': 'gelu', 'use_batch_norm': False, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'optimizer': 'radam', 'use_pos_weight': False, 'epochs': 30} | mean_val_acc=0.8181±0.0006 | mean_val_loss=0.4237 | best_run_acc=0.8187 @ epoch 30
Trial 25/48 | params={'batch_size': 128, 'hidden_dim': 128, 'num_layers': 4, 'width_decay': 0.7, 'dropout': 0.2, 'activation': 'leaky_relu', 'use_batch_norm': False, 'learning_rate': 0.0003, 'weight_decay': 0.0, 'optimizer': 'radam', 'use_pos_weight': True, 'epochs': 80} | mean_val_acc=0.8309±0.0012 | mean_val_loss=0.3783 | best_run_acc=0.8326 @ epoch 59
