Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
1500,Israel,660,0.68,0.68,0.67,20,16700,0.4259,142,25,3,0.8,1,5000,239,39100,,0,0,
10500,1,660,0.71,0.71,0.71,1,10500,0.0693,308,12,7,0.083,2,10800,-4300,151100,12960,12960,0,
5800,1,660,0.32,0.32,0.32,1,5800,0.12,-777,3,2,0.333,1,5000,52,48300,,0,0,
1100,1,660,0.76,0.76,0.76,1,1100,0.267,-37,6,4,0.167,2,1100,-131,4200,10080,8640,0,
1900,1,660,0.4,0.38,0.35,13,10300,0.2608,-670,19,3,0.684,0,0,-16,39300,47520,47520,0,
1600,0,660,0.62,0.62,0.62,1,1600,0.2781,-54,3,3,0.333,1,1500,28,5600,2880,2880,0,
1500,1,660,0.76,0.76,0.73,3,3600,0.5354,20,6,4,0.5,3,3600,955,6800,7200,7200,0,
1200,0,660,0.62,0.6,0.61,3,2700,0.4723,121,5,3,0.6,3,1400,98,5800,,0,0,
1000,1,660,0.7,0.7,0.7,1,1000,0.0707,-89,25,12,0.04,2,975,-218,14500,188640,188640,0,
15200,1,660,0.83,0.83,0.83,1,15200,0.1638,-721,13,5,0.077,1,14500,-8400,92700,,0,0,1
1000,1,660,0.4,0.11,0.37,6,2200,0.3154,393,6,1,1,1,1400,393,7000,41760,40320,0,
5000,1,660,0.75,0.49,0.62,3,10800,0.2141,-155,17,9,0.176,2,99,254,50600,69120,67680,0,
1100,1,720,0.49,0.49,0.49,2,2100,0.1395,-104,4,2,0.5,1,4200,154,14900,,0,0,
3000,1,720,0.4,0.4,0.36,2,4000,0.267,258,4,2,0.5,1,4200,154,14900,,0,0,
2000,1,720,0.73,0.73,0.58,8,11700,0.5182,-518,8,1,1,1,1500,-518,22500,77760,76320,0,
1800,1,720,0.38,0.38,0.35,13,10300,0.2608,-670,19,3,0.684,0,0,-16,39300,47520,47520,0,
2500,0,720,0.64,0.1,0.45,4,5500,0.1033,1900,12,6,0.333,4,2300,1700,53700,31680,30240,0,
4800,1,720,0.72,0.72,0.72,6,7000,0.4186,146,7,2,0.857,1,7100,4700,16700,,0,0,
2000,1,720,0.44,0.44,0.44,1,2000,0.0504,-157,16,6,0.063,3,1900,-257,40400,54720,53280,0,
1000,1,720,0.79,0.79,0.79,1,1000,0.1152,-15,3,3,0.333,3,2000,-37,8700,76320,74880,0,
20000,1,720,0.42,0.11,0.26,2,25000,0.096,13300,7,3,0.286,1,38300,66300,260500,,0,0,
1900,0,720,0.64,0.64,0.64,1,1900,0.6403,-136,1,1,1,1,1800,-136,3000,720,0,0,
1300,1,720,0.4,0.4,0.4,1,1300,0.0238,14,7,4,0.143,4,1400,-5500,56500,,0,0,
2000,1,720,0.68,0.44,0.67,9,22000,0.5084,1400,14,5,0.643,2,7800,5200,43200,,0,0,
5000,1,720,0.33,0.33,0.33,2,10800,0.2229,829,3,2,0.667,1,5000,52,48300,,0,0,
1900,0,720,0.62,0.9,0.72,4,5300,0.216,-927,12,6,0.333,1,4400,-947,24500,31680,31680,0,
1100,1,720,0.76,0.76,0.76,1,1100,0.0894,-37,9,4,0.111,3,1200,2700,12500,4320,2880,0,
1300,1,720,0.78,0.8,0.79,3,4200,0.2395,-346,15,7,0.2,1,0,-1400,17500,372960,371520,0,
5000,1,720,0.89,0.93,0.92,4,20900,0.6863,437,11,5,0.364,1,7100,1600,30400,718560,717120,0,1
1000,1,720,0.79,0.48,0.64,4,2900,0.226,-86,10,4,0.4,0,0,1100,12900,741600,740160,0,
1000,1,720,0.8,0.8,0.79,3,4200,0.2395,-346,15,7,0.2,1,0,-1400,17500,372960,371520,0,
1100,1,720,0.79,0.79,0.79,2,2100,0.1485,-161,21,9,0.095,1,936,614,14300,,0,0,
9600,1,720,0.5,0.02,0.16,7,12500,0.0805,5200,15,6,0.467,5,17500,14600,155400,64800,63360,0,
2200,1,720,0.83,0.84,0.84,3,4000,0.1711,-205,10,6,0.3,3,8800,3500,23500,,0,0,1
